cod_produto,produto,valor_venda,custo_produto,lucro,nota_fiscal,email_cliente,data_criacao_pedido,data_venda,estado,tamanho,canal_venda,forma_pagamento
P1574,Calça Feminina,316.1,219.53,96.57,NF640125,ibjhlf@email.com,2025-08-06,2025-08-10,PR,42,Loja,Pix
P1575,Tênis Feminino,96.1,50.68,45.42,NF840552,kwrcfk@email.com,2025-09-01,2025-09-05,RS,36,Online,Boleto
P1576,Tênis Feminino,340.4,198.96,141.44,NF122293,wawvyp@email.com,2025-11-18,2025-11-23,SC,37,Loja,Pix
P1577,Camiseta Feminina,333.39,221.76,111.63,NF116933,lmznbp@email.com,2025-05-17,2025-05-19,SP,39,Loja,Dinheiro
P1578,Calça Masculina,491.67,255.85,235.82,NF721330,unqgcv@email.com,2025-04-09,2025-04-10,MG,39,Loja,Pix
P1579,Tênis Feminino,368.73,273.92,94.81,NF696716,zrpach@email.com,2025-01-04,2025-01-07,PR,39,Loja,Boleto
P1580,Calça Feminina,371.36,205.81,165.55,NF230626,bzgmyt@email.com,2025-02-01,2025-02-06,RS,39,Online,Dinheiro
P1581,Calça Masculina,180.93,147.05,33.88,NF791538,wrykju@email.com,2025-09-28,2025-10-02,RJ,M,Online,Dinheiro
P1582,Tênis Masculino,297.25,156.91,140.34,NF319737,oydevh@email.com,2026-01-20,2026-01-22,BA,G,Loja,Pix
P1583,Tênis Feminino,332.29,169.43,162.86,NF909253,ghmqbq@email.com,2025-08-12,2025-08-16,SP,36,Loja,Dinheiro
P1584,Calça Masculina,548.34,297.1,251.24,NF209191,nxpule@email.com,2025-12-15,2025-12-15,RJ,39,Online,Cartão
P1585,Camiseta Feminina,411.4,257.55,153.85,NF228422,zfzzze@email.com,2025-11-03,2025-11-06,MG,39,Online,Pix
P1586,Calça Feminina,117.7,87.62,30.08,NF430887,ejeihi@email.com,2026-03-19,2026-03-19,PB,36,Loja,Dinheiro
P1587,Tênis Feminino,152.4,99.61,52.79,NF861039,wwhepa@email.com,2026-01-11,2026-01-15,CE,G,Online,Pix
P1588,Camiseta Feminina,487.27,256.38,230.89,NF331260,wanplo@email.com,2025-01-03,2025-01-05,BA,38,Online,Cartão
P1589,Camiseta Masculina,159.48,108.88,50.6,NF851325,ldhpae@email.com,2025-09-17,2025-09-18,RJ,39,Online,Boleto
P1590,Tênis Masculino,293.31,172.3,121.01,NF550942,yfenvu@email.com,2026-03-26,2026-03-30,SP,41,Loja,Pix
P1591,Tênis Feminino,214.84,168.48,46.36,NF733067,gtvuie@email.com,2025-01-27,2025-01-27,MG,40,Online,Boleto
P1592,Camiseta Masculina,374.23,288.22,86.01,NF703470,bczpmv@email.com,2025-02-28,2025-03-02,BA,M,Online,Pix
P1593,Tênis Masculino,111.77,71.99,39.78,NF255721,eovura@email.com,2026-01-04,2026-01-05,CE,37,Online,Boleto
P1594,Calça Feminina,348.95,180.38,168.57,NF771263,vhdqsh@email.com,2026-03-11,2026-03-13,RS,37,Online,Dinheiro
P1595,Camiseta Masculina,200.3,124.81,75.49,NF822997,cboomb@email.com,2025-06-26,2025-06-27,PE,38,Online,Pix
P1596,Tênis Feminino,379.78,237.29,142.49,NF766997,cjijkq@email.com,2025-07-12,2025-07-17,PB,40,Online,Dinheiro
P1597,Calça Masculina,395.64,262.24,133.4,NF422705,tgcoff@email.com,2025-07-17,2025-07-18,MG,39,Online,Dinheiro
P1598,Calça Masculina,480.62,288.55,192.07,NF875996,ryqvaf@email.com,2025-10-24,2025-10-25,RJ,G,Loja,Pix
P1599,Camiseta Masculina,228.11,155.36,72.75,NF746467,zuicwv@email.com,2025-01-17,2025-01-18,SC,36,Loja,Dinheiro
P1600,Tênis Masculino,223.39,115.41,107.98,NF814936,zlwtxh@email.com,2026-03-09,2026-03-14,BA,42,Online,Dinheiro
P1601,Camiseta Masculina,103.32,80.85,22.47,NF641852,btyitv@email.com,2025-03-15,2025-03-18,PB,G,Online,Pix
P1602,Tênis Feminino,98.68,68.81,29.87,NF861224,vcrbyv@email.com,2025-10-30,2025-10-31,CE,P,Loja,Boleto
P1603,Calça Feminina,212.63,162.87,49.76,NF317350,klydsw@email.com,2026-02-13,2026-02-15,SC,36,Loja,Pix
P1604,Calça Masculina,301.67,164.13,137.54,NF127952,ncabrx@email.com,2026-01-18,2026-01-23,RJ,41,Loja,Boleto
P1605,Tênis Masculino,158.82,122.28,36.54,NF951177,shmcjz@email.com,2025-01-27,2025-01-27,SP,42,Loja,Dinheiro
P1606,Calça Masculina,259.64,200.21,59.43,NF802767,emnein@email.com,2025-01-05,2025-01-10,PB,37,Online,Pix
P1607,Tênis Feminino,184.51,95.02,89.49,NF339389,uuxvne@email.com,2025-02-11,2025-02-11,PR,P,Online,Pix
P1608,Camiseta Feminina,312.04,228.31,83.73,NF739581,fiktdq@email.com,2025-01-20,2025-01-24,SC,39,Online,Boleto
P1609,Camiseta Masculina,293.43,176.55,116.88,NF937560,dwldgs@email.com,2025-05-11,2025-05-13,RS,37,Loja,Dinheiro
P1610,Tênis Feminino,245.18,196.69,48.49,NF679269,twdofn@email.com,2025-06-01,2025-06-05,PB,41,Loja,Boleto
P1611,Tênis Masculino,459.76,264.81,194.95,NF217698,jjfxfk@email.com,2026-01-31,2026-02-02,RJ,36,Online,Cartão
P1612,Tênis Feminino,372.08,274.64,97.44,NF174311,hwvsov@email.com,2025-07-24,2025-07-28,SC,40,Loja,Dinheiro
P1613,Camiseta Feminina,364.29,233.36,130.93,NF646885,xqyeet@email.com,2025-07-01,2025-07-06,PE,42,Loja,Boleto
P1614,Camiseta Feminina,477.28,253.19,224.09,NF493321,erfwab@email.com,2025-07-01,2025-07-02,SC,40,Online,Cartão
P1615,Calça Feminina,266.44,151.2,115.24,NF905174,mqhfrv@email.com,2025-03-15,2025-03-15,SC,39,Online,Boleto
P1616,Camiseta Feminina,171.61,102.04,69.57,NF430251,eluqdo@email.com,2025-10-24,2025-10-24,PE,P,Loja,Dinheiro
P1617,Camiseta Masculina,191.48,97.11,94.37,NF516480,hfahni@email.com,2025-03-18,2025-03-19,MG,42,Loja,Pix
P1618,Tênis Feminino,218.06,136.62,81.44,NF872446,kbytss@email.com,2025-03-14,2025-03-18,RJ,37,Loja,Pix
P1619,Camiseta Feminina,168.67,92.29,76.38,NF200640,yfgnbn@email.com,2026-03-01,2026-03-03,CE,37,Online,Cartão
P1620,Camiseta Masculina,136.8,80.92,55.88,NF149460,uuezbx@email.com,2025-09-05,2025-09-09,BA,40,Online,Cartão
P1621,Camiseta Feminina,234.81,195.21,39.6,NF726737,efefit@email.com,2025-01-08,2025-01-11,PR,G,Online,Pix
P1622,Camiseta Feminina,101.33,61.09,40.24,NF598095,rpjllj@email.com,2026-02-06,2026-02-06,MG,40,Online,Boleto
P1623,Camiseta Masculina,338.39,193.49,144.9,NF866011,fkrlje@email.com,2025-06-23,2025-06-25,SP,38,Online,Pix
P1624,Tênis Masculino,440.69,284.75,155.94,NF943922,miybdw@email.com,2025-01-22,2025-01-22,PE,39,Online,Pix
P1625,Calça Feminina,101.08,67.4,33.68,NF948193,upnzkm@email.com,2025-07-09,2025-07-10,SP,37,Loja,Pix
P1626,Calça Masculina,346.55,234.91,111.64,NF183359,crezkh@email.com,2025-05-20,2025-05-20,PR,36,Online,Boleto
P1627,Camiseta Masculina,333.73,202.5,131.23,NF842535,zelmir@email.com,2026-03-09,2026-03-11,PB,40,Online,Cartão
P1628,Calça Masculina,450.72,272.35,178.37,NF152787,sfvtdh@email.com,2026-03-11,2026-03-16,RS,39,Loja,Cartão
P1629,Camiseta Feminina,318.17,170.61,147.56,NF741625,rlieyo@email.com,2025-03-06,2025-03-11,PE,42,Loja,Pix
P1630,Tênis Feminino,163.89,82.13,81.76,NF602230,slsbsd@email.com,2025-03-17,2025-03-17,PE,37,Online,Cartão
P1631,Tênis Masculino,529.14,283.42,245.72,NF149959,qnulcf@email.com,2026-02-27,2026-03-03,RS,41,Online,Cartão
P1632,Tênis Masculino,445.37,289.87,155.5,NF572775,cdumsr@email.com,2026-03-11,2026-03-15,PE,G,Online,Pix
P1633,Tênis Feminino,388.81,257.0,131.81,NF452398,qxezvj@email.com,2025-01-15,2025-01-17,RS,G,Online,Pix
P1634,Calça Masculina,466.54,267.19,199.35,NF854509,dpjlfs@email.com,2025-11-08,2025-11-13,PB,36,Online,Boleto
P1635,Tênis Masculino,352.31,236.09,116.22,NF500517,xmtzsb@email.com,2025-12-10,2025-12-15,PB,P,Loja,Boleto
P1636,Tênis Masculino,423.45,284.67,138.78,NF317125,grvuhp@email.com,2026-03-18,2026-03-20,CE,37,Loja,Cartão
P1637,Calça Masculina,441.37,284.69,156.68,NF386059,qvtwru@email.com,2025-07-19,2025-07-24,BA,41,Loja,Dinheiro
P1638,Tênis Feminino,117.49,65.55,51.94,NF757343,xfyfdq@email.com,2025-05-25,2025-05-28,RS,42,Online,Cartão
P1639,Camiseta Feminina,310.69,217.75,92.94,NF109147,yyvxhi@email.com,2025-01-09,2025-01-10,RS,40,Loja,Dinheiro
P1640,Calça Feminina,468.69,281.68,187.01,NF321283,ccsqqi@email.com,2025-12-17,2025-12-21,SP,M,Online,Boleto
P1641,Calça Masculina,108.97,62.98,45.99,NF485863,jxnsxf@email.com,2025-12-13,2025-12-13,MG,41,Loja,Boleto
P1642,Tênis Feminino,423.34,221.43,201.91,NF507601,vjdvpr@email.com,2025-06-04,2025-06-06,RS,41,Online,Dinheiro
P1643,Camiseta Masculina,252.15,197.01,55.14,NF360817,jjqnev@email.com,2025-05-26,2025-05-26,PB,37,Online,Boleto
P1644,Tênis Masculino,128.55,84.4,44.15,NF704852,nzbaga@email.com,2026-01-19,2026-01-20,PB,P,Loja,Cartão
P1645,Camiseta Masculina,247.23,163.57,83.66,NF317019,rqbnmm@email.com,2026-01-05,2026-01-05,MG,M,Online,Cartão
P1646,Tênis Feminino,369.5,214.27,155.23,NF311042,aromlh@email.com,2025-12-06,2025-12-10,PR,39,Online,Boleto
P1647,Camiseta Feminina,499.6,291.46,208.14,NF619200,exotcq@email.com,2025-02-08,2025-02-12,SC,36,Loja,Cartão
P1648,Tênis Feminino,548.67,294.59,254.08,NF316349,bavyir@email.com,2025-02-17,2025-02-21,PE,36,Loja,Dinheiro
P1649,Tênis Feminino,347.58,191.43,156.15,NF941525,twmcjm@email.com,2025-02-02,2025-02-03,RS,M,Loja,Pix
P1650,Camiseta Masculina,99.24,60.81,38.43,NF353050,yknkbk@email.com,2025-03-01,2025-03-02,RJ,M,Online,Dinheiro
P1651,Camiseta Feminina,489.8,248.19,241.61,NF297922,qpfsoj@email.com,2025-01-28,2025-01-31,SC,38,Online,Dinheiro
P1652,Tênis Masculino,434.45,224.4,210.05,NF403733,tkmhjz@email.com,2025-01-15,2025-01-15,PR,37,Loja,Boleto
P1653,Calça Feminina,365.53,244.8,120.73,NF979478,ioxlxm@email.com,2025-09-10,2025-09-11,SC,36,Online,Cartão
P1654,Camiseta Masculina,114.05,86.7,27.35,NF889902,oloqqy@email.com,2025-12-16,2025-12-17,RJ,P,Online,Pix
P1655,Tênis Feminino,183.27,91.83,91.44,NF161770,rosoxi@email.com,2025-01-27,2025-01-31,CE,G,Online,Dinheiro
P1656,Tênis Feminino,380.65,231.81,148.84,NF595411,qhlyqf@email.com,2025-08-20,2025-08-20,MG,G,Loja,Cartão
P1657,Tênis Feminino,205.35,163.16,42.19,NF578248,csaotk@email.com,2025-01-17,2025-01-21,SP,37,Online,Boleto
P1658,Tênis Masculino,340.37,196.27,144.1,NF280438,anwngv@email.com,2025-10-01,2025-10-05,PE,36,Online,Boleto
P1659,Calça Masculina,287.97,186.63,101.34,NF227731,wrlwpj@email.com,2025-01-29,2025-02-01,SP,M,Online,Dinheiro
P1660,Tênis Feminino,331.46,214.99,116.47,NF833766,jtvyxm@email.com,2025-06-16,2025-06-17,SC,40,Loja,Dinheiro
P1661,Calça Masculina,396.21,299.61,96.6,NF857300,qacpvf@email.com,2025-05-19,2025-05-20,BA,G,Online,Boleto
P1662,Camiseta Feminina,84.87,55.57,29.3,NF272376,rfcutw@email.com,2026-02-13,2026-02-17,RJ,38,Online,Cartão
P1663,Tênis Feminino,213.65,172.26,41.39,NF972147,csehdp@email.com,2025-02-26,2025-02-28,PR,P,Online,Pix
P1664,Tênis Masculino,560.71,298.21,262.5,NF866527,pjwgwl@email.com,2026-02-09,2026-02-09,BA,M,Online,Pix
P1665,Tênis Masculino,102.6,69.19,33.41,NF706380,oevkat@email.com,2025-02-25,2025-03-01,PB,M,Loja,Dinheiro
P1666,Camiseta Masculina,361.13,250.6,110.53,NF930570,wiminy@email.com,2026-03-25,2026-03-29,RJ,36,Loja,Boleto
P1667,Camiseta Masculina,192.5,126.56,65.94,NF385071,mzrsdf@email.com,2026-01-14,2026-01-15,RS,37,Online,Boleto
P1668,Camiseta Masculina,372.13,199.03,173.1,NF621746,opauok@email.com,2026-03-29,2026-04-03,RS,37,Loja,Boleto
P1669,Calça Masculina,441.0,299.0,142.0,NF864450,bnnejd@email.com,2026-03-26,2026-03-31,RS,P,Loja,Dinheiro
P1670,Tênis Feminino,167.46,84.64,82.82,NF237774,ejqayx@email.com,2025-05-16,2025-05-21,BA,37,Loja,Dinheiro
P1671,Calça Masculina,112.73,58.68,54.05,NF955812,bubjsv@email.com,2026-02-20,2026-02-23,SC,38,Online,Cartão
P1672,Calça Masculina,341.79,197.16,144.63,NF572763,vafzoh@email.com,2025-10-03,2025-10-08,PB,41,Loja,Boleto
P1673,Camiseta Masculina,314.11,171.98,142.13,NF805830,biymca@email.com,2025-12-28,2025-12-28,MG,38,Online,Boleto
P1674,Calça Feminina,126.37,85.29,41.08,NF995431,ptotml@email.com,2025-09-20,2025-09-20,SP,40,Loja,Boleto
P1675,Calça Feminina,307.09,196.47,110.62,NF422091,qkabuk@email.com,2025-09-07,2025-09-11,PE,37,Loja,Dinheiro
P1676,Tênis Feminino,224.43,150.65,73.78,NF987924,vsmuyj@email.com,2025-10-19,2025-10-20,RS,36,Online,Boleto
P1677,Tênis Feminino,264.69,183.1,81.59,NF968299,leetpl@email.com,2025-11-21,2025-11-24,PE,38,Loja,Boleto
P1678,Camiseta Masculina,125.35,83.74,41.61,NF425274,qpyhci@email.com,2025-10-12,2025-10-13,RS,42,Online,Dinheiro
P1679,Tênis Masculino,358.9,245.13,113.77,NF527509,pcoosz@email.com,2026-02-20,2026-02-23,SP,37,Loja,Boleto
P1680,Camiseta Feminina,74.15,60.64,13.51,NF326754,jfaggu@email.com,2025-04-15,2025-04-18,RS,M,Online,Pix
P1681,Tênis Masculino,412.54,233.83,178.71,NF189527,zctpwl@email.com,2025-06-04,2025-06-09,RJ,36,Loja,Cartão
P1682,Camiseta Masculina,220.05,139.98,80.07,NF472911,xitykx@email.com,2025-08-16,2025-08-18,RS,36,Loja,Pix
P1683,Camiseta Feminina,215.5,154.75,60.75,NF200768,lbwkmr@email.com,2025-07-09,2025-07-09,PE,M,Online,Dinheiro
P1684,Calça Feminina,176.03,129.05,46.98,NF759635,jigwsy@email.com,2025-10-14,2025-10-17,SC,42,Online,Pix
P1685,Calça Masculina,194.07,113.74,80.33,NF583846,oiaqpp@email.com,2025-07-20,2025-07-24,PR,M,Loja,Cartão
P1686,Tênis Masculino,340.13,280.46,59.67,NF175214,ypwnqk@email.com,2025-01-31,2025-02-02,RS,40,Online,Dinheiro
P1687,Tênis Masculino,471.88,293.15,178.73,NF977345,jmxucx@email.com,2026-01-29,2026-01-30,BA,M,Loja,Dinheiro
P1688,Calça Feminina,202.74,102.24,100.5,NF339267,yxgprn@email.com,2025-03-11,2025-03-16,MG,41,Loja,Boleto
P1689,Camiseta Masculina,253.35,134.48,118.87,NF163069,znkljc@email.com,2025-07-29,2025-07-30,RJ,38,Online,Pix
P1690,Camiseta Masculina,136.51,95.0,41.51,NF249280,lmthro@email.com,2025-01-06,2025-01-11,PB,36,Loja,Pix
P1691,Tênis Masculino,344.47,248.18,96.29,NF287019,sywevh@email.com,2025-02-04,2025-02-09,CE,39,Online,Boleto
P1692,Camiseta Masculina,406.64,265.95,140.69,NF239100,seyowx@email.com,2025-10-17,2025-10-18,MG,37,Loja,Cartão
P1693,Tênis Feminino,478.7,242.95,235.75,NF261338,bueudz@email.com,2025-09-06,2025-09-11,CE,39,Loja,Dinheiro
P1694,Camiseta Feminina,471.03,271.02,200.01,NF359597,dvxzol@email.com,2026-02-19,2026-02-19,PE,M,Online,Boleto
P1695,Camiseta Feminina,273.81,217.12,56.69,NF988199,lwaran@email.com,2026-02-11,2026-02-11,RJ,40,Loja,Pix
P1696,Calça Feminina,406.58,268.0,138.58,NF440572,pjnwvj@email.com,2025-11-28,2025-11-29,SC,40,Loja,Cartão
P1697,Calça Feminina,178.76,125.01,53.75,NF689043,wewriu@email.com,2025-04-29,2025-04-29,PE,38,Loja,Dinheiro
P1698,Camiseta Feminina,157.25,117.47,39.78,NF313351,tnzjea@email.com,2026-03-17,2026-03-18,PB,39,Online,Pix
P1699,Camiseta Feminina,93.06,62.11,30.95,NF441694,hobckj@email.com,2025-06-04,2025-06-07,CE,36,Loja,Pix
P1700,Tênis Masculino,224.45,126.73,97.72,NF593579,qstjys@email.com,2026-01-29,2026-01-30,PE,38,Online,Boleto
P1701,Calça Feminina,272.56,155.25,117.31,NF630238,ksnoig@email.com,2025-12-29,2025-12-30,CE,40,Loja,Pix
P1702,Camiseta Masculina,356.21,184.78,171.43,NF481302,mriajg@email.com,2025-06-13,2025-06-15,PR,41,Loja,Dinheiro
P1703,Tênis Feminino,386.54,272.96,113.58,NF745933,xrgfcc@email.com,2025-01-23,2025-01-24,SP,40,Online,Boleto
P1704,Camiseta Feminina,402.13,280.08,122.05,NF920121,iayhuw@email.com,2025-10-07,2025-10-11,RJ,41,Online,Boleto
P1705,Tênis Masculino,453.2,273.34,179.86,NF217489,gujoac@email.com,2026-04-08,2026-04-11,RJ,41,Online,Cartão
P1706,Tênis Feminino,225.86,121.65,104.21,NF325289,lorktj@email.com,2025-12-05,2025-12-06,BA,37,Online,Dinheiro
P1707,Calça Feminina,520.58,266.39,254.19,NF580045,iqzkmc@email.com,2025-06-13,2025-06-18,MG,36,Online,Dinheiro
P1708,Camiseta Masculina,105.06,74.65,30.41,NF798930,zdhetv@email.com,2026-01-28,2026-02-01,RS,41,Loja,Dinheiro
P1709,Camiseta Masculina,341.4,174.29,167.11,NF244197,xwqwoy@email.com,2026-04-29,2026-05-02,PB,36,Online,Cartão
P1710,Camiseta Feminina,192.47,121.35,71.12,NF635182,cjgyqq@email.com,2025-06-01,2025-06-04,SP,41,Loja,Cartão
P1711,Camiseta Masculina,310.83,193.01,117.82,NF220057,athzmn@email.com,2025-01-24,2025-01-27,RJ,39,Online,Pix
P1712,Calça Feminina,185.96,139.65,46.31,NF416887,ffjpre@email.com,2025-10-09,2025-10-09,RJ,P,Loja,Cartão
P1713,Camiseta Masculina,417.62,294.42,123.2,NF500243,ksasaw@email.com,2025-03-08,2025-03-12,SC,40,Online,Pix
P1714,Calça Feminina,350.33,217.48,132.85,NF252575,njqnsw@email.com,2025-03-14,2025-03-18,CE,40,Loja,Boleto
P1715,Camiseta Feminina,483.19,269.1,214.09,NF849528,pnreso@email.com,2025-10-19,2025-10-22,PR,42,Loja,Pix
P1716,Camiseta Feminina,448.02,286.15,161.87,NF444396,jomkpq@email.com,2026-01-28,2026-01-28,MG,40,Online,Cartão
P1717,Calça Masculina,308.54,219.91,88.63,NF152266,ymgutd@email.com,2025-03-24,2025-03-27,SP,37,Loja,Dinheiro
P1718,Calça Masculina,298.31,244.06,54.25,NF128417,rfvbkx@email.com,2026-02-22,2026-02-23,BA,37,Online,Boleto
P1719,Tênis Feminino,142.93,86.81,56.12,NF472497,ujztev@email.com,2026-03-29,2026-03-30,MG,37,Online,Boleto
P1720,Camiseta Masculina,409.71,286.14,123.57,NF358605,xearus@email.com,2025-08-21,2025-08-21,MG,42,Loja,Dinheiro
P1721,Tênis Feminino,255.03,155.09,99.94,NF634586,zbmprh@email.com,2025-10-24,2025-10-26,RJ,39,Online,Dinheiro
P1722,Camiseta Masculina,300.46,209.99,90.47,NF766554,ywlzqy@email.com,2026-04-16,2026-04-19,SP,37,Online,Cartão
P1723,Camiseta Masculina,294.46,234.16,60.3,NF447913,vagdcz@email.com,2025-06-02,2025-06-02,SP,G,Loja,Dinheiro
P1724,Camiseta Feminina,88.34,50.8,37.54,NF195218,xfssxi@email.com,2026-03-01,2026-03-05,BA,P,Online,Pix
P1725,Tênis Masculino,293.23,194.84,98.39,NF792255,osqsnf@email.com,2025-12-09,2025-12-09,PB,P,Online,Cartão
P1726,Camiseta Masculina,430.54,255.22,175.32,NF164799,apcqcr@email.com,2025-11-20,2025-11-20,BA,42,Online,Cartão
P1727,Camiseta Feminina,120.91,60.57,60.34,NF870010,jporno@email.com,2025-04-11,2025-04-15,PE,P,Loja,Pix
P1728,Camiseta Feminina,477.16,264.34,212.82,NF966374,pktbql@email.com,2025-01-04,2025-01-05,SC,37,Online,Cartão
P1729,Camiseta Feminina,69.32,52.2,17.12,NF111541,wedcym@email.com,2026-03-07,2026-03-09,BA,G,Online,Dinheiro
P1730,Camiseta Masculina,304.43,153.09,151.34,NF900878,ntfiwb@email.com,2025-11-16,2025-11-18,PE,M,Online,Dinheiro
P1731,Tênis Masculino,162.55,135.12,27.43,NF823891,owenbg@email.com,2025-09-10,2025-09-13,BA,41,Loja,Boleto
P1732,Camiseta Masculina,373.77,267.88,105.89,NF841768,gnyukb@email.com,2026-04-14,2026-04-17,CE,39,Online,Dinheiro
P1733,Tênis Feminino,276.57,204.94,71.63,NF154875,zuwnnv@email.com,2026-03-10,2026-03-14,PB,M,Online,Cartão
P1734,Camiseta Masculina,215.21,117.69,97.52,NF910698,ghlbmd@email.com,2025-01-22,2025-01-25,BA,41,Online,Dinheiro
P1735,Camiseta Feminina,372.45,272.86,99.59,NF235468,zznrbx@email.com,2025-01-13,2025-01-17,RS,37,Loja,Pix
P1736,Calça Feminina,161.03,82.05,78.98,NF810352,twqwew@email.com,2025-12-04,2025-12-06,PB,40,Online,Dinheiro
P1737,Tênis Feminino,299.47,177.63,121.84,NF619757,itqecu@email.com,2025-01-19,2025-01-20,SP,36,Online,Dinheiro
P1738,Calça Feminina,143.27,90.72,52.55,NF912711,uigcyl@email.com,2025-07-27,2025-07-31,BA,40,Loja,Dinheiro
P1739,Tênis Feminino,102.25,65.83,36.42,NF373822,apcxjs@email.com,2025-02-11,2025-02-11,PB,37,Online,Cartão
P1740,Calça Masculina,227.73,140.74,86.99,NF736599,weesyu@email.com,2025-12-30,2025-12-31,SC,40,Online,Cartão
P1741,Tênis Feminino,162.39,116.33,46.06,NF268369,snhigb@email.com,2026-03-02,2026-03-05,SC,37,Loja,Pix
P1742,Calça Masculina,315.96,187.19,128.77,NF787113,kpodgm@email.com,2025-01-03,2025-01-05,SC,G,Loja,Pix
P1743,Tênis Feminino,89.21,71.28,17.93,NF229786,vxikwu@email.com,2025-10-11,2025-10-15,RJ,P,Online,Boleto
P1744,Tênis Masculino,104.76,58.05,46.71,NF735049,arqsgi@email.com,2025-03-29,2025-04-01,PE,41,Online,Dinheiro
P1745,Camiseta Feminina,155.62,92.74,62.88,NF493481,wfiwky@email.com,2026-01-11,2026-01-15,SP,41,Online,Dinheiro
P1746,Calça Feminina,376.24,241.8,134.44,NF810848,clscrj@email.com,2025-09-14,2025-09-14,PE,36,Online,Pix
P1747,Tênis Feminino,269.99,215.4,54.59,NF295665,wruamo@email.com,2025-03-05,2025-03-08,MG,M,Loja,Cartão
P1748,Tênis Masculino,516.05,284.67,231.38,NF994092,yrgsjo@email.com,2025-02-17,2025-02-21,RS,40,Loja,Dinheiro
P1749,Camiseta Feminina,278.57,139.74,138.83,NF567828,ogpnsh@email.com,2025-06-03,2025-06-07,MG,39,Loja,Dinheiro
P1750,Tênis Masculino,365.87,257.45,108.42,NF924547,qxwcbr@email.com,2025-05-04,2025-05-07,CE,M,Online,Cartão
P1751,Camiseta Masculina,178.74,110.49,68.25,NF433918,iwkeuc@email.com,2025-08-17,2025-08-21,CE,P,Loja,Dinheiro
P1752,Calça Masculina,494.51,249.05,245.46,NF522522,qmrenn@email.com,2025-06-21,2025-06-25,PR,P,Online,Pix
P1753,Tênis Feminino,230.65,116.64,114.01,NF566706,lfauvv@email.com,2025-08-01,2025-08-01,RJ,41,Loja,Pix
P1754,Calça Masculina,203.39,129.59,73.8,NF966171,rmiozu@email.com,2025-07-15,2025-07-20,MG,37,Online,Cartão
P1755,Tênis Masculino,383.71,263.49,120.22,NF692135,hhwyhi@email.com,2026-01-27,2026-01-28,RJ,P,Online,Cartão
P1756,Tênis Masculino,232.79,186.94,45.85,NF505689,tmasww@email.com,2026-02-01,2026-02-01,CE,40,Online,Pix
P1757,Camiseta Feminina,136.98,77.75,59.23,NF738277,jjpwnt@email.com,2025-03-20,2025-03-25,MG,37,Loja,Cartão
P1758,Camiseta Feminina,356.93,289.64,67.29,NF739775,ejtpgh@email.com,2025-05-11,2025-05-13,RJ,G,Loja,Boleto
P1759,Tênis Feminino,276.72,185.19,91.53,NF392602,tzuabj@email.com,2025-08-06,2025-08-07,PR,41,Loja,Boleto
P1760,Camiseta Masculina,172.74,120.09,52.65,NF461760,itkwdr@email.com,2025-08-29,2025-08-29,PB,41,Loja,Pix
P1761,Calça Masculina,327.01,198.57,128.44,NF474632,njjhgl@email.com,2025-03-25,2025-03-29,SP,G,Loja,Cartão
P1762,Tênis Masculino,194.44,119.6,74.84,NF196562,esyqgp@email.com,2025-02-01,2025-02-02,SP,38,Online,Cartão
P1763,Tênis Feminino,72.9,53.19,19.71,NF950944,farzsa@email.com,2025-10-08,2025-10-11,BA,42,Loja,Dinheiro
P1764,Calça Masculina,256.01,151.17,104.84,NF511237,pqfonw@email.com,2025-12-25,2025-12-29,PE,38,Loja,Cartão
P1765,Tênis Masculino,192.17,157.2,34.97,NF270169,gzrvmk@email.com,2026-03-20,2026-03-24,CE,P,Loja,Dinheiro
P1766,Tênis Masculino,168.45,116.76,51.69,NF973663,xiyffg@email.com,2025-09-01,2025-09-02,CE,39,Online,Dinheiro
P1767,Calça Masculina,212.42,107.18,105.24,NF485069,sjobgt@email.com,2025-01-22,2025-01-23,CE,P,Online,Dinheiro
P1768,Calça Feminina,138.13,96.73,41.4,NF500286,yfhrif@email.com,2026-01-18,2026-01-21,BA,39,Online,Pix
P1769,Calça Feminina,437.36,285.94,151.42,NF760934,ufufol@email.com,2025-06-26,2025-06-26,RS,P,Online,Dinheiro
P1770,Calça Feminina,230.86,161.73,69.13,NF712873,difdek@email.com,2025-01-25,2025-01-29,PR,40,Loja,Dinheiro
P1771,Tênis Masculino,115.36,91.61,23.75,NF243165,newnhd@email.com,2025-02-11,2025-02-11,PB,40,Online,Dinheiro
P1772,Calça Masculina,166.33,83.43,82.9,NF360632,ykmgep@email.com,2026-03-21,2026-03-24,PE,41,Loja,Pix
P1773,Calça Masculina,291.13,175.97,115.16,NF795741,trlaox@email.com,2025-12-26,2025-12-29,RJ,36,Loja,Boleto
P1774,Camiseta Feminina,232.23,166.05,66.18,NF151346,xztfim@email.com,2025-10-04,2025-10-09,PR,36,Online,Cartão
P1775,Tênis Feminino,409.13,281.99,127.14,NF984715,xztxuq@email.com,2025-07-17,2025-07-20,RS,40,Online,Cartão
P1776,Tênis Masculino,462.21,258.1,204.11,NF440991,svfjru@email.com,2025-06-19,2025-06-23,SC,41,Loja,Pix
P1777,Calça Masculina,177.03,95.41,81.62,NF243753,kxyeba@email.com,2025-04-12,2025-04-17,RJ,42,Loja,Cartão
P1778,Tênis Feminino,292.79,221.85,70.94,NF884319,mxkyoq@email.com,2026-04-28,2026-04-28,CE,42,Online,Dinheiro
